"","GEOID","insur_rate","medn_incm","educ_rate","PoC","EJStress","BrwnFl_500","BrwnFl_250","BrwnFl_1k"
"40","340010101013",1,0.560537757848969,0.331683168316832,0.197715917201999,0.2,0,0,0
"41","340010101014",0.970149253731343,0.454542181831273,0.350730688935282,0.0167910447761194,0.16,0,0,0
"42","340010101021",0.975652173913043,0.507997968008128,0.540117416829746,0.0104347826086957,0.28,0,0,0
"43","340010101022",0.959537572254335,NA,0.567307692307692,0.0369318181818182,0.32,0,0,0
"44","340010101023",0.89161554192229,0.417690329238683,0.466346153846154,0.155419222903885,0.4,0,0,0
"45","340010101041",0.970772442588727,0.18499926000296,0.524886877828054,0.187891440501044,0.32,0,0,0
"46","340010101042",0.988054607508532,0.432186271254915,0.428825622775801,0.063973063973064,0.48,0,0,0
"47","340010101051",0.965703971119134,0.2999988000048,0.60676532769556,0.144366197183099,0.4,1,0,2
"48","340010101052",0.97953216374269,0.129251482994068,0.212361331220285,0.540462427745665,0.44,0,0,0
"49","340010101053",0.908823529411765,0.364038543845825,0.396581196581197,0.270538243626062,0.4,0,0,0
"50","340010102001",0.94550408719346,0.258710965156139,0.284545016851228,0.170584045584046,0.56,0,0,0
"51","340010102002",0.973039215686274,0.286666853332587,0.400593471810089,0.170343137254902,0.56,0,0,0
"52","340010102003",0.874015748031496,0.18062327750689,0.264830508474576,0.423622047244094,0.6,0,0,0
"53","340010102004",0.913142857142857,0.411686353254587,0.423847695390782,0.194554736245037,0.36,0,0,0
"54","340010102005",1,0.738249047003812,0.338422391857506,0.0760456273764259,0.52,0,0,0
"55","340010103001",0.863499245852187,0.33499866000536,0.28310502283105,0.811463046757164,0.68,0,0,0
"56","340010103002",0.895214521452145,0.245383018467926,0.259305210918114,0.378712871287129,0.84,0,0,0
"57","340010104011",0.944588744588745,0.367894528421886,0.275494672754947,0.166233766233766,0.4,0,0,0
"58","340010104012",0.864857674913541,0.470138119447522,0.251955671447197,0.0771481777068369,0.32,0,0,0
"59","340010104013",1,0.318570725717097,0.316081330868762,0.6398891966759,0.44,0,0,0
"60","340010104031",0.881024096385542,0.370350518597926,0.287769784172662,0.673076923076923,0.48,0,0,0
"61","340010104032",0.921063739974673,0.383198467206131,0.370523415977961,0.604896580835796,0.52,0,0,0
"62","340010104033",0.931894057422658,0.384502461990152,0.262928348909657,0.693133951137321,0.56,0,0,0
"63","340010105011",0.863697705802969,0.185443258226967,0.410131852879944,0.144399460188934,0.12,0,0,0
"64","340010105012",0.976267529665588,0.517773928904284,0.364331210191083,0.0505376344086022,0.32,0,0,0
"65","340010105013",0.991273996509599,0.316962732149071,0.316228351507377,0.129144851657941,0.2,0,0,0
"66","340010105014",0.961611675126904,0.41999832000672,0.381691867592971,0.181154822335025,0.24,0,0,0
"67","340010105031",0.972665148063781,0.232315070739717,0.274709302325581,0.724373576309795,0.28,0,0,0
"68","340010105032",0.922598479612992,0.288054847780609,0.197828709288299,0.541810642709053,0.24,0,0,0
"69","340010105033",0.959583833533413,0.291818832724669,0.333333333333333,0.610644257703081,0.24,0,0,0
"70","340010105034",0.991443240159726,0.321046715813137,0.318379160636758,0.541928123217342,0.36,0,0,0
"71","340010105051",0.984423676012461,0.340206639173443,0.318532818532819,0.0420560747663551,0.32,0,0,0
"72","340010105052",0.956213511259383,0.334626661493354,0.43180349062702,0.209408825978351,0.32,0,0,0
"73","340010105061",0.988512349224584,0.351798592805629,0.36697247706422,0.278575531303848,0.52,0,0,0
"74","340010105062",0.959518599562363,0.512853948584206,0.404302670623145,0.205142231947484,0.56,0,0,0
"75","340010105063",0.944006999125109,0.41499834000664,0.341252699784017,0.185476815398075,0.36,0,0,0
"76","340010106001",0.996941896024465,0.229051083795665,0.183673469387755,0.54040404040404,0.28,0,0,0
"77","340010106002",0.917188587334725,0.281098875604498,0.192380952380952,0.547668754349339,0.52,0,0,0
"78","340010106003",0.975060337892196,0.185851256594974,0.158522050059595,0.562549800796813,0.48,0,0,0
"79","340010106004",0.703170028818444,0.0933316266734933,0.198717948717949,0.615273775216138,0.4,0,0,0
"80","340010107001",1,0.529561881752473,0.224827586206897,0.0495626822157434,0.36,0,0,0
"81","340010107002",0.976439790575916,0.452222191111236,0.371017471736896,0.111910994764398,0.24,0,0,0
"82","340010107003",0.894760017613386,0.357854568581726,0.225806451612903,0.0435931307793923,0.32,0,0,0
"83","340010107004",0.919504643962848,0.276954892180431,0.013986013986014,0.537298387096774,0.4,0,0,0
"84","340010108001",0.880058866813834,0.225675097299611,0.217993079584775,0.365710080941869,0.88,0,0,0
"85","340010108002",0.980314960629921,0.315250738997044,0.118710691823899,0.123556581986143,0.8,0,0,0
"86","340010109001",0.972323379461034,0.39875040499838,0.407373271889401,0.289147851420248,0.56,0,0,0
"87","340010109002",0.884070058381985,NA,0.486304909560724,0.345704753961635,0.84,0,0,0
"88","340010109003",0.903177004538578,NA,0.221902017291066,0.332829046898638,0.72,0,0,0
"89","340010110001",0.924833491912464,0.294442822228711,0.31424375917768,0.291151284490961,0.88,0,0,0
"90","340010110002",0.921412300683371,0.491666033335867,0.340229885057471,0.161161731207289,0.8,0,0,0
"91","340010111001",0.909660107334526,NA,0.356821589205397,0.26386404293381,0.68,0,0,0
"92","340010111002",0.909452736318408,0.27875088499646,0.143556280587276,0.589054726368159,0.8,0,0,0
"93","340010111003",0.977011494252874,0.305282778868884,0.145966709346991,0.121212121212121,0.76,0,0,0
"94","340010112011",0.960893854748603,0.491762032951868,0.323462414578588,0.118914604948125,0.48,0,0,0
"95","340010112012",0.970472440944882,0.325830696677213,0.207977207977208,0.179133858267717,0.6,0,0,0
